accelerometer_X,accelerometer_Y,accelerometer_Z
-0.4548979999999999,-14.882357999999998,-6.933608
9.035717,-13.206416,12.617443
-1.273715,-5.353435,-0.641646
-0.794875,-9.160215,-0.1819589999999999
2.336741,-11.722012,-1.321599
-6.1578870000000006,-1.489193,-0.54109
-6.904877000000001,-20.159178,-0.866701
-1.958457,-8.978256,-4.625597
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
-0.4548979999999999,-14.882357999999998,-6.933608
9.035717,-13.206416,12.617443
-1.273715,-5.353435,-0.641646
-0.794875,-9.160215,-0.1819589999999999
2.336741,-11.722012,-1.321599
-6.1578870000000006,-1.489193,-0.54109
-6.904877000000001,-20.159178,-0.866701
-1.958457,-8.978256,-4.625597
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-1.273715,-5.353435,-0.641646
-0.794875,-9.160215,-0.1819589999999999
2.336741,-11.722012,-1.321599
-6.1578870000000006,-1.489193,-0.54109
-6.904877000000001,-20.159178,-0.866701
-1.958457,-8.978256,-4.625597
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
2.336741,-11.722012,-1.321599
-6.1578870000000006,-1.489193,-0.54109
-6.904877000000001,-20.159178,-0.866701
-1.958457,-8.978256,-4.625597
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
3.830723,-12.014104,-1.158794
2.418144,-9.002198,0.8236049999999999
3.529053,-7.436389999999999,1.905785
0.986411,-17.3005,-0.3830719999999999
-4.582502,-7.862558,9.792285
1.910573,-5.985504,-1.599327
4.458004,-6.914453999999999,-5.401319
2.475605,-8.705316999999999,-0.3734949999999999
-1.120486,-5.803545,2.044648
-2.39899,-8.451532,4.055778
5.64074,-8.566454,1.029507
-0.8283940000000001,-0.483629,10.582372
4.491523,-7.393294999999999,-1.58975
4.97994,-10.127473,-14.422671
1.106121,-7.115567,2.240973
1.355118,-8.667010000000001,1.479617
2.149993,-7.474697,5.93762
8.288725999999999,-10.783484,-3.165135
-0.991199,-19.416977,4.074930999999999
7.062895,-8.063671000000001,-0.972046
0.766145,-4.788403,-0.981623
0.02873,-6.545747,-0.6464340000000001
6.952762,-11.247959,0.344765
6.895301,-13.982138,-2.504335
-1.417367,-19.349937,0.177171
0.320823,-3.715801,-9.653421
-4.649539,-15.05474,1.192313
4.242526,-16.539145,-10.836157
6.789956,-6.947972999999999,-3.007117
0.933739,-4.606444000000001,-0.512359
-6.904877000000001,-20.159178,-0.866701
-1.958457,-8.978256,-4.625597
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
0.196325,-2.643199,-0.114922
-1.728614,-4.9943040000000005,-1.192312
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
0.746991,-5.238512999999999,-1.043872
-1.197101,-3.68707,2.882619
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
-0.344765,-9.696517,0.679953
-5.386954,-16.323667999999998,4.266468
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
-3.787627,-8.633492,0.895431
-2.30801,-13.445837,-2.834735
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
-0.545878,-3.653552,6.670246000000001
2.844312,-10.486604,-1.580173
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
0.8236049999999999,-7.383717999999999,-3.5960910000000004
-6.224924,-12.23437,-26.230873
2.566584,-10.323798,-1.16837
2.63841,-7.168239999999999,-0.71826
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
0.8236049999999999,-7.383717999999999,-3.5960910000000004
-6.224924,-12.23437,-26.230873
1.273715,-6.502651,-3.572149
0.7230489999999999,-6.871359,-4.079719
3.907337,-4.984728,-3.821146
0.354342,-9.56723,-5.7700260000000005
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
0.8236049999999999,-7.383717999999999,-3.5960910000000004
-6.224924,-12.23437,-26.230873
1.273715,-6.502651,-3.572149
0.7230489999999999,-6.871359,-4.079719
2.226608,-7.575253999999999,-12.555194
3.284845,-11.96622,-3.892972
0.9912,-10.290278,-5.099648999999999
-2.389413,-12.220005,-6.330269
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
0.8236049999999999,-7.383717999999999,-3.5960910000000004
-6.224924,-12.23437,-26.230873
1.273715,-6.502651,-3.572149
0.7230489999999999,-6.871359,-4.079719
2.226608,-7.575253999999999,-12.555194
3.284845,-11.96622,-3.892972
3.945645,-11.760319,-8.09719
2.801216,-9.32781,-5.133168
-1.7860740000000002,-18.737022,6.244078
4.644751,-11.018116,-1.04866
-2.269703,-2.782062,2.39899
1.479617,-9.251195,-0.857124
5.152323,-11.702858,-2.27928
1.637634,-22.720974,-10.491392
-2.346318,-3.270479,1.063026
-1.685518,-7.580042,-1.623269
-1.80044,-7.465121000000001,-3.069367
-0.124498,-12.559982000000002,6.7516490000000005
1.7525560000000002,-17.501614,-3.801992
2.331953,-9.744401,-7.407660000000001
3.222596,-8.920795,-3.08852
-3.457227,-2.715025,0.148441
2.264915,-9.931149,-4.659116
0.9912,-10.903194,-8.183380999999999
2.226608,-8.044516999999999,-2.341529
-1.647211,-11.851298,6.775591
8.39886,-13.771448,-2.566584
2.494758,-10.328587,-8.690952000000001
0.8236049999999999,-7.383717999999999,-3.5960910000000004
-6.224924,-12.23437,-26.230873
1.273715,-6.502651,-3.572149
0.7230489999999999,-6.871359,-4.079719
2.226608,-7.575253999999999,-12.555194
3.284845,-11.96622,-3.892972
3.945645,-11.760319,-8.09719
2.801216,-9.32781,-5.133168
-1.35033,-3.380613,-0.057461
-0.253785,-6.373365,0.205901
